City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Bundaberg,AU,72.21,scattered clouds,-24.85,152.35,Takalvan Motel
5,Flinders,AU,61.21,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
7,Kiunga,PG,74.32,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
10,Kodiak,US,53.11,clear sky,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
13,Taltal,CL,70.39,few clouds,-25.4,-70.4833,Residencial Karime
15,Kapaa,US,73.72,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
25,Port Alfred,ZA,64.83,heavy intensity rain,-33.5906,26.891,The Halyards Hotel
26,Estepona,ES,67.91,few clouds,36.4276,-5.1459,Hotel Mediterráneo
35,Guhagar,IN,72.32,clear sky,17.4842,73.1929,Hotel Seawinds
36,Mar Del Plata,AR,73.42,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
38,Punta Arenas,CL,53.71,scattered clouds,-53.15,-70.9167,Hotel Hain
40,Cape Town,ZA,69.12,few clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
41,Port Elizabeth,ZA,69.1,thunderstorm with light rain,-33.918,25.5701,39 On Nile Guest House
43,Mareeba,AU,70.52,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
44,Bredasdorp,ZA,69.12,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
45,Vaini,TO,71.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
48,Castro,BR,74.3,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
49,Hermanus,ZA,68.9,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
56,Mount Gambier,AU,51.71,few clouds,-37.8333,140.7667,The Commodore
60,Nanakuli,US,73.45,few clouds,21.3906,-158.1547,Camp Pālehua
64,East London,ZA,68.94,moderate rain,-33.0153,27.9116,Tu Casa
65,Ribeira Grande,PT,66.6,broken clouds,38.5167,-28.7,Quinta da Meia Eira
69,Dunedin,NZ,51.8,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
81,Constitucion,CL,70.07,scattered clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
93,Kruisfontein,ZA,67.89,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
